region,division,classification,position,status,item_status,year_created,number
Region IVB - MIMAROPA,Division of Calapan City,School Head Personnel,School Principal II,Filled,Regular,2011,4
Region V - Bicol,Division of Camarines Sur,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2017,4
Region V - Bicol,Division of Camarines Sur,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2021,4
Region IVA - CALABARZON,Division of General Trias City,Related-Teaching Personnel,Head Teacher VI,Filled,Regular,2005,4
Region V - Bicol,Division of Camarines Sur,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,1998,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Master Teacher I,Filled,Regular,2000,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Master Teacher I,Filled,Regular,2010,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Master Teacher I,Filled,Regular,2014,4
Region IVB - MIMAROPA,Division of Calapan City,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2005,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Master Teacher I,Filled,Regular,2016,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Master Teacher I,Filled,Regular,2019,4
Region V - Bicol,Division of Camarines Sur,Related-Teaching Personnel,School Librarian I,Filled,Regular,1998,4
Region X - Northern Mindanao,Division of Valencia City,Teaching Personnel,Teacher III,Filled,Regular,2010,4
Region IVB - MIMAROPA,Division of Calapan City,Teaching Personnel,Teacher III,Filled,Regular,2026,4
Region IVB - MIMAROPA,Division of Calapan City,Teaching Personnel,Teacher III,Filled,Regular,2013,4
Region VI - Western Visayas,Division of Capiz,Related-Teaching Personnel,Head Teacher I,Unfilled,Regular,2010,4
Region IVB - MIMAROPA,Division of Calapan City,Teaching Personnel,Teacher III,Filled,Regular,2009,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Special Education Teacher III,Filled,Regular,2016,4
Region V - Bicol,Division of Camarines Sur,School Head Personnel,School Principal III,Filled,Regular,2024,4
Region V - Bicol,Division of Camarines Sur,School Head Personnel,School Principal III,Filled,Regular,2025,4
Region IVA - CALABARZON,Division of Lipa City,Teaching Personnel,Teacher III,Filled,Regular,2005,4
Region V - Bicol,Division of Camarines Sur,School Head Personnel,School Principal IV,Filled,Regular,2025,4
Region V - Bicol,Division of Camarines Sur,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region VIII - Eastern Visayas,Division of Catbalogan City,Teaching Personnel,Teacher II,Filled,Regular,2018,4
Region VII - Central Visayas,Division of Danao City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2018,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Teacher I,Filled,Regular,2002,4
Region V - Bicol,Division of Catanduanes,Non-Teaching Personnel,Administrative Aide IV,Filled,CTI,2004,4
Region V - Bicol,Division of Catanduanes,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2004,4
Region VIII - Eastern Visayas,Division of Catbalogan City,Teaching Personnel,Teacher II,Filled,Regular,2006,4
Region V - Bicol,Division of Catanduanes,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2016,4
Region X - Northern Mindanao,Division of Valencia City,Teaching Personnel,Teacher III,Filled,Regular,2022,4
Region VIII - Eastern Visayas,Division of Catbalogan City,Teaching Personnel,Teacher I,Filled,Regular,2021,4
Region VIII - Eastern Visayas,Division of Catbalogan City,Teaching Personnel,Teacher I,Filled,Regular,2017,4
Region V - Bicol,Division of Catanduanes,Non-Teaching Personnel,Farm Worker I,Filled,Regular,1998,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Teacher II,Filled,Regular,2020,4
Region IVB - MIMAROPA,Division of Calapan City,Teaching Personnel,Master Teacher III,Filled,Regular,2025,4
Region V - Bicol,Division of Catanduanes,Related-Teaching Personnel,Registrar I,Filled,Regular,2016,4
Region IVB - MIMAROPA,Division of Calapan City,Teaching Personnel,Master Teacher II,Filled,Regular,2010,4
Region X - Northern Mindanao,Division of Gingoog City,Teaching Personnel,Teacher III,Filled,Regular,2002,4
Region VIII - Eastern Visayas,Division of Catbalogan City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2023,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Master Teacher II,Filled,Regular,2026,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Master Teacher II,Unfilled,Regular,1998,4
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Lipa City,Teaching Personnel,Teacher III,Unfilled,Regular,2026,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Special Education Teacher I,Filled,Regular,2023,4
Region X - Northern Mindanao,Division of Gingoog City,Related-Teaching Personnel,Head Teacher II,Filled,Regular,1998,4
Region VIII - Eastern Visayas,Division of Catbalogan City,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,2004,4
Region VIII - Eastern Visayas,Division of Calbayog City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher I,Filled,Regular,2002,4
Region VI - Western Visayas,Division of Antique,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2010,4
Region VI - Western Visayas,Division of Capiz,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2007,4
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2017,4
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Gingoog City,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2022,4
Region IVB - MIMAROPA,Division of Calapan City,Non-Teaching Personnel,Administrative Aide I,Unfilled,CTI,2004,4
Region X - Northern Mindanao,Division of Gingoog City,Related-Teaching Personnel,Public Schools District Supervisor,Filled,Regular,2014,4
Region VIII - Eastern Visayas,Division of Calbayog City,Related-Teaching Personnel,Public Schools District Supervisor,Filled,Regular,2014,4
Region VIII - Eastern Visayas,Division of Calbayog City,Related-Teaching Personnel,Head Teacher III,Filled,Regular,1998,4
Region X - Northern Mindanao,Division of Gingoog City,School Head Personnel,School Principal II,Filled,Regular,2021,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher II,Filled,Regular,2000,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher II,Filled,Regular,2001,4
Region X - Northern Mindanao,Division of Gingoog City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region IVA - CALABARZON,Regional Office - Proper,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,2015,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Assistant II,Unfilled,Regular,2017,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Assistant II,Unfilled,Regular,2018,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2007,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,2007,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,2017,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Assistant III,Unfilled,Regular,2018,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher II,Unfilled,Regular,2022,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2024,4
Region IVA - CALABARZON,Regional Office - Proper,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2004,4
Region X - Northern Mindanao,Division of Iligan City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Teacher III,Filled,Regular,2001,4
Region X - Northern Mindanao,Division of Iligan City,Teaching Personnel,Special Education Teacher I,Filled,Regular,2025,4
Region IVA - CALABARZON,Division of Tayabas City,School Head Personnel,School Principal I,Filled,Regular,2010,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher III,Unfilled,Regular,2003,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher III,Unfilled,Regular,2016,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher III,Unfilled,Regular,2018,4
Region X - Northern Mindanao,Division of Iligan City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2021,4
Region V - Bicol,Division of Catanduanes,Teaching Personnel,Teacher III,Unfilled,Regular,2026,4
Region X - Northern Mindanao,Division of Iligan City,Teaching Personnel,Teacher I,Filled,Regular,2004,4
Region X - Northern Mindanao,Division of Iligan City,Teaching Personnel,Teacher I,Filled,Regular,2006,4
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Teacher III,Filled,CTI,2025,4
Region IVA - CALABARZON,Division of Tayabas City,Teaching Personnel,Teacher III,Filled,Regular,2016,4
Region IVA - CALABARZON,Division of Tayabas City,Teaching Personnel,Teacher III,Filled,Regular,2009,4
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Teacher III,Filled,CTI,2022,4
Region V - Bicol,Division of Catanduanes,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,1998,4
Region IVA - CALABARZON,Division of Tayabas City,Teaching Personnel,Teacher I,Filled,Regular,2023,4
Region IVA - CALABARZON,Division of Tayabas City,Teaching Personnel,Teacher I,Filled,Regular,2021,4
Region VI - Western Visayas,Division of Capiz,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,2014,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Teacher III,Filled,Regular,2011,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Teacher III,Filled,Regular,2009,4
Region X - Northern Mindanao,Division of Iligan City,Teaching Personnel,Teacher I,Unfilled,Regular,2018,4
Region IVA - CALABARZON,Division of Tayabas City,Teaching Personnel,Master Teacher I,Filled,Regular,2023,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Teacher II,Filled,Regular,2024,4
Region V - Bicol,Division of Catanduanes,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2017,4
Region V - Bicol,Division of Catanduanes,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2022,4
Region IVA - CALABARZON,Division of Tayabas City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2023,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Teacher II,Filled,Regular,2020,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Teacher II,Filled,Regular,2018,4
Region IVA - CALABARZON,Division of Tayabas City,Non-Teaching Personnel,Nurse II,Filled,Regular,2021,4
Region X - Northern Mindanao,Division of Iligan City,Teaching Personnel,Teacher II,Unfilled,Regular,2012,4
Region V - Bicol,Division of Catanduanes,School Head Personnel,School Principal II,Filled,Regular,2025,4
Region IVA - CALABARZON,Division of Tayabas City,Non-Teaching Personnel,Administrative Aide IV,Filled,Regular,2004,4
Region V - Bicol,Division of Catanduanes,School Head Personnel,School Principal III,Filled,Regular,2025,4
Region V - Bicol,Division of Catanduanes,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Tanauan City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2015,4
Region IVA - CALABARZON,Division of Tanauan City,School Head Personnel,School Principal III,Filled,Regular,2021,4
Region IVA - CALABARZON,Division of Lipa City,Related-Teaching Personnel,Head Teacher III,Filled,Regular,2007,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2025,4
Region VI - Western Visayas,Division of Capiz,Related-Teaching Personnel,Guidance Counselor I,Unfilled,Regular,2008,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2021,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Master Teacher III,Filled,Regular,2025,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Master Teacher III,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Valencia City,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2022,4
Region VIII - Eastern Visayas,Division of Calbayog City,Teaching Personnel,Master Teacher II,Filled,Regular,2000,4
Region V - Bicol,Division of Iriga City,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2026,4
Region X - Northern Mindanao,Division of Iligan City,Related-Teaching Personnel,Education Program Specialist II,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Oroquieta City,Teaching Personnel,Teacher I,Filled,Regular,2023,4
Region IVA - CALABARZON,Division of Lipa City,Related-Teaching Personnel,Public Schools District Supervisor,Filled,Regular,1998,4
Region X - Northern Mindanao,Division of Iligan City,Related-Teaching Personnel,Guidance Counselor III,Filled,Regular,2003,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Master Teacher II,Filled,Regular,2021,4
Region VIII - Eastern Visayas,Division of Calbayog City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2023,4
Region VIII - Eastern Visayas,Division of Calbayog City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region VII - Central Visayas,Division of Lapu-lapu City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2015,4
Region X - Northern Mindanao,Division of Iligan City,Related-Teaching Personnel,Head Teacher V,Filled,Regular,2008,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Teacher I,Filled,Regular,2023,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Teacher II,Filled,Regular,2009,4
Region X - Northern Mindanao,Division of Iligan City,School Head Personnel,School Principal I,Filled,Regular,2014,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Teacher II,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Tanauan City,Teaching Personnel,Teacher II,Filled,Regular,2002,4
Region X - Northern Mindanao,Division of Iligan City,School Head Personnel,School Principal I,Unfilled,Regular,2010,4
Region VIII - Eastern Visayas,Division of Calbayog City,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2014,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Teacher II,Filled,Regular,2019,4
Region VIII - Eastern Visayas,Division of Calbayog City,Non-Teaching Personnel,Administrative Aide I,Filled,CTI,2004,4
Region IVA - CALABARZON,Division of Tanauan City,Teaching Personnel,Teacher I,Filled,Regular,2011,4
Region X - Northern Mindanao,Division of Valencia City,School Head Personnel,School Principal I,Unfilled,Regular,2026,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Teacher III,Filled,Regular,2007,4
Region X - Northern Mindanao,Division of Iligan City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Teacher III,Filled,Regular,2018,4
Region V - Bicol,Division of Iriga City,Teaching Personnel,Teacher III,Filled,Regular,2019,4
Region IVA - CALABARZON,Division of Tanauan City,Teaching Personnel,Master Teacher II,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Lanao del Norte,Non-Teaching Personnel,Administrative Aide III,Unfilled,CTI,2004,4
Region IVA - CALABARZON,Division of Tanauan City,Teaching Personnel,Master Teacher I,Filled,Regular,2017,4
Region X - Northern Mindanao,Division of Lanao del Norte,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2011,4
Region IVA - CALABARZON,Division of Tanauan City,Teaching Personnel,Master Teacher I,Filled,Regular,2013,4
Region VIII - Eastern Visayas,Division of Borongan City,Related-Teaching Personnel,Head Teacher II,Filled,Regular,2024,4
Region VIII - Eastern Visayas,Division of Borongan City,Related-Teaching Personnel,Head Teacher II,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Oroquieta City,Teaching Personnel,Teacher I,Filled,Regular,2017,4
Region VIII - Eastern Visayas,Division of Borongan City,Related-Teaching Personnel,Guidance Counselor II,Unfilled,Regular,2016,4
Region V - Bicol,Division of Iriga City,Related-Teaching Personnel,Head Teacher III,Unfilled,Regular,1998,4
Region X - Northern Mindanao,Division of Lanao del Norte,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2004,4
Region X - Northern Mindanao,Division of Lanao del Norte,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2011,4
Region IVA - CALABARZON,Division of Tanauan City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2015,4
Region X - Northern Mindanao,Division of Lanao del Norte,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Teacher I,Filled,Regular,2009,4
Region IVA - CALABARZON,Division of Lipa City,School Head Personnel,School Principal IV,Filled,Regular,2023,4
Region IVA - CALABARZON,Division of Tanauan City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2016,4
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Teacher I,Filled,Regular,2008,4
Region IVA - CALABARZON,Division of Lipa City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2015,4
Region V - Bicol,Division of Legazpi City,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Lanao del Norte,Security Personnel,Security Guard I,Filled,Regular,2003,4
Region X - Northern Mindanao,Division of Lanao del Norte,Security Personnel,Watchman I,Filled,Regular,2003,4
Region VI - Western Visayas,Division of Antique,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2007,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2023,4
Region VI - Western Visayas,Division of Antique,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2025,4
Region IVA - CALABARZON,Division of Dasmariñas City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2015,4
Region IVA - CALABARZON,Division of Sto. Tomas City,School Head Personnel,School Principal I,Filled,Regular,2010,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Related-Teaching Personnel,Head Teacher III,Filled,Regular,1998,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Related-Teaching Personnel,Head Teacher II,Filled,Regular,2023,4
Region X - Northern Mindanao,Division of Valencia City,School Head Personnel,School Principal II,Filled,Regular,2026,4
Region VIII - Eastern Visayas,Division of Borongan City,Teaching Personnel,Teacher II,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Lucena City,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2004,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2023,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Related-Teaching Personnel,Head Teacher I,Filled,Regular,2021,4
Region V - Bicol,Division of Legazpi City,Non-Teaching Personnel,Nurse II,Filled,CTI,2021,4
Region IVA - CALABARZON,Division of Lucena City,Non-Teaching Personnel,Administrative Aide VI,Filled,Regular,2015,4
Region V - Bicol,Division of Legazpi City,Non-Teaching Personnel,Project Development Officer I,Unfilled,Regular,2026,4
Region V - Bicol,Division of Legazpi City,Security Personnel,Security Guard I,Filled,CTI,1998,4
Region V - Bicol,Division of Legazpi City,Non-Teaching Personnel,Senior Bookkeeper,Filled,Regular,2014,4
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Special Education Teacher I,Filled,Regular,2018,4
Region VIII - Eastern Visayas,Division of Borongan City,Teaching Personnel,Master Teacher I,Filled,Regular,2024,4
Region VIII - Eastern Visayas,Division of Borongan City,Teaching Personnel,Master Teacher I,Filled,Regular,1999,4
Region VIII - Eastern Visayas,Division of Borongan City,Security Personnel,Watchman I,Filled,Regular,1998,4
Region IVA - CALABARZON,Division of Lucena City,Non-Teaching Personnel,Administrative Assistant II,Filled,Regular,2017,4
Region V - Bicol,Division of Legazpi City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2016,4
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Special Science Teacher I,Filled,Regular,2022,4
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2021,4
Region V - Bicol,Division of Legazpi City,Teaching Personnel,Teacher I,Filled,Regular,2002,4
Region VIII - Eastern Visayas,Division of Borongan City,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2023,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Teaching Personnel,Teacher III,Filled,Regular,2003,4
Region V - Bicol,Division of Legazpi City,Teaching Personnel,Teacher I,Filled,Regular,2019,4
Region V - Bicol,Division of Legazpi City,Teaching Personnel,Teacher I,Filled,Regular,2023,4
Region X - Northern Mindanao,Division of Valencia City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Lucena City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2017,4
Region IVA - CALABARZON,Division of Lucena City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2022,4
Region X - Northern Mindanao,Division of Oroquieta City,Teaching Personnel,Master Teacher I,Filled,Regular,2021,4
Region VIII - Eastern Visayas,Division of Borongan City,Non-Teaching Personnel,Administrative Aide I,Filled,Regular,2004,4
Region VIII - Eastern Visayas,Division of Biliran,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of General Trias City,Teaching Personnel,Master Teacher II,Filled,Regular,2024,4
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher I,Filled,Regular,2013,4
Region VIII - Eastern Visayas,Division of Biliran,School Head Personnel,School Principal IV,Filled,Regular,2025,4
Region VIII - Eastern Visayas,Division of Biliran,School Head Personnel,School Principal I,Filled,Regular,2025,4
Region V - Bicol,Division of Legazpi City,Teaching Personnel,Teacher III,Filled,Regular,2002,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Teaching Personnel,Master Teacher II,Filled,Regular,2025,4
Region VII - Central Visayas,Division of Lapu-lapu City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2017,4
Region V - Bicol,Division of Legazpi City,Teaching Personnel,Teacher III,Filled,Regular,2013,4
Region VI - Western Visayas,Division of Capiz,Teaching Personnel,Master Teacher I,Filled,Regular,2003,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Teaching Personnel,Master Teacher II,Filled,Regular,2020,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Teaching Personnel,Master Teacher I,Filled,Regular,2019,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2023,4
Region IVA - CALABARZON,Division of Lucena City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2015,4
Region VIII - Eastern Visayas,Division of Biliran,Related-Teaching Personnel,Head Teacher II,Filled,Regular,1998,4
Region X - Northern Mindanao,Regional Office - Proper,Related-Teaching Personnel,Chief Education Supervisor,Filled,Regular,1998,4
Region X - Northern Mindanao,Division of Oroquieta City,Teaching Personnel,Master Teacher I,Filled,Regular,2002,4
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher II,Filled,Regular,2008,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Teacher III,Unfilled,Regular,2026,4
Region X - Northern Mindanao,Division of Oroquieta City,Security Personnel,Security Guard I,Filled,Regular,2003,4
Region X - Northern Mindanao,Division of Oroquieta City,Non-Teaching Personnel,Nurse II,Filled,Regular,2021,4
Region IVA - CALABARZON,Division of Sto. Tomas City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2022,4
Region V - Bicol,Division of Legazpi City,Related-Teaching Personnel,Public Schools District Supervisor,Filled,CTI,1998,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2015,4
Region IVA - CALABARZON,Division of Sta. Rosa City,School Head Personnel,School Principal IV,Filled,Regular,2010,4
Region VII - Central Visayas,Division of Lapu-lapu City,Non-Teaching Personnel,Administrative Assistant III,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Sta. Rosa City,School Head Personnel,School Principal II,Filled,Regular,2023,4
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher III,Filled,Regular,2008,4
Region X - Northern Mindanao,Division of Lanao del Norte,Teaching Personnel,Teacher III,Filled,Regular,2010,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Teacher II,Unfilled,Regular,2017,4
Region X - Northern Mindanao,Division of Oroquieta City,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2021,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Related-Teaching Personnel,Guidance Counselor II,Filled,Regular,2016,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Related-Teaching Personnel,Education Program Specialist II,Filled,Regular,2015,4
Region V - Bicol,Division of Ligao City,Non-Teaching Personnel,Administrative Officer IV,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Teacher III,Filled,Regular,2026,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Teacher II,Filled,Regular,2013,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Teacher III,Filled,Regular,2005,4
Region X - Northern Mindanao,Division of Lanao del Norte,School Head Personnel,Assistant School Principal II,Unfilled,Regular,2016,4
Region V - Bicol,Division of Ligao City,Non-Teaching Personnel,Project Development Officer I,Filled,Regular,2023,4
Region X - Northern Mindanao,Regional Office - Proper,Related-Teaching Personnel,Education Program Supervisor,Unfilled,Regular,2010,4
Region X - Northern Mindanao,Division of Lanao del Norte,Related-Teaching Personnel,Guidance Counselor III,Unfilled,Regular,2003,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Teacher II,Unfilled,Regular,1998,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Teacher II,Filled,Regular,2015,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Teacher II,Filled,Regular,2009,4
Region V - Bicol,Division of Ligao City,Teaching Personnel,Special Education Teacher II,Filled,Regular,2023,4
Region X - Northern Mindanao,Division of Lanao del Norte,Related-Teaching Personnel,Head Teacher IV,Filled,Regular,2022,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Teacher I,Unfilled,Regular,2018,4
Region V - Bicol,Division of Ligao City,Teaching Personnel,Special Science Teacher I,Filled,Regular,2021,4
Region IVA - CALABARZON,Division of Lucena City,Teaching Personnel,Master Teacher I,Filled,Regular,2011,4
Region V - Bicol,Division of Ligao City,Teaching Personnel,Teacher I,Filled,Regular,2002,4
Region V - Bicol,Division of Ligao City,Teaching Personnel,Teacher I,Filled,Regular,2009,4
Region V - Bicol,Division of Ligao City,Teaching Personnel,Teacher I,Filled,Regular,2019,4
Region X - Northern Mindanao,Division of Lanao del Norte,Related-Teaching Personnel,Senior Education Program Specialist,Filled,Regular,2014,4
Region IVA - CALABARZON,Division of Lucena City,Teaching Personnel,Master Teacher I,Filled,Regular,2021,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Teacher I,Filled,Regular,2004,4
Region X - Northern Mindanao,Division of Malaybalay City,Non-Teaching Personnel,Administrative Officer II,Filled,Regular,2025,4
Region VIII - Eastern Visayas,Division of Biliran,Teaching Personnel,Teacher I,Filled,Regular,2000,4
Region IVA - CALABARZON,Division of Sta. Rosa City,Teaching Personnel,Master Teacher I,Filled,Regular,2006,4
